CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
28db669eb46b   couchdb.peer0.org2.example.com   0.37%     35.74MiB / 15.63GiB   0.22%     736B / 0B         0B / 131kB    45
f6756df652db   ca.org2.example.com              0.00%     8.434MiB / 15.63GiB   0.05%     1.07kB / 0B       0B / 389kB    9
b7921d830bc7   couchdb.peer0.org1.example.com   0.38%     39.82MiB / 15.63GiB   0.25%     1.07kB / 0B       0B / 131kB    45
414be5786117   ca.org1.example.com              0.63%     12.38MiB / 15.63GiB   0.08%     426B / 0B         0B / 389kB    9
ac7bf3ca469e   orderer0.example.com             0.14%     16.16MiB / 15.63GiB   0.10%     558B / 0B         0B / 49.2kB   14
9925c0f509bf   peer0.org2.example.com           6.42%     12.38MiB / 15.63GiB   0.08%     2.67kB / 1.49kB   0B / 57.3kB   12
51c9c4bfffc7   peer0.org1.example.com           5.73%     17MiB / 15.63GiB      0.11%     2.67kB / 1.49kB   0B / 57.3kB   14
CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
51c9c4bfffc7   peer0.org1.example.com           1.98%     17MiB / 15.63GiB      0.11%     2.92kB / 1.49kB   0B / 57.3kB   14
9925c0f509bf   peer0.org2.example.com           1.85%     12.46MiB / 15.63GiB   0.08%     3.03kB / 1.49kB   0B / 57.3kB   13
ac7bf3ca469e   orderer0.example.com             0.05%     16.16MiB / 15.63GiB   0.10%     670B / 0B         0B / 49.2kB   14
28db669eb46b   couchdb.peer0.org2.example.com   0.35%     36.91MiB / 15.63GiB   0.23%     2.34kB / 2.4kB    0B / 442kB    45
414be5786117   ca.org1.example.com              0.00%     12.38MiB / 15.63GiB   0.08%     670B / 0B         0B / 389kB    9
f6756df652db   ca.org2.example.com              0.00%     8.434MiB / 15.63GiB   0.05%     1.22kB / 0B       0B / 389kB    9
b7921d830bc7   couchdb.peer0.org1.example.com   0.31%     40.02MiB / 15.63GiB   0.25%     2.67kB / 2.4kB    0B / 442kB    45
CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
51c9c4bfffc7   peer0.org1.example.com           1.81%     17.01MiB / 15.63GiB   0.11%     2.98kB / 1.49kB   0B / 57.3kB   14
9925c0f509bf   peer0.org2.example.com           1.80%     12.47MiB / 15.63GiB   0.08%     3.03kB / 1.49kB   0B / 57.3kB   13
ac7bf3ca469e   orderer0.example.com             0.10%     16.16MiB / 15.63GiB   0.10%     670B / 0B         0B / 49.2kB   14
28db669eb46b   couchdb.peer0.org2.example.com   0.50%     36.86MiB / 15.63GiB   0.23%     2.34kB / 2.4kB    0B / 442kB    45
414be5786117   ca.org1.example.com              0.00%     12.38MiB / 15.63GiB   0.08%     670B / 0B         0B / 389kB    9
f6756df652db   ca.org2.example.com              0.00%     8.434MiB / 15.63GiB   0.05%     1.22kB / 0B       0B / 389kB    9
b7921d830bc7   couchdb.peer0.org1.example.com   0.44%     40.32MiB / 15.63GiB   0.25%     2.74kB / 2.4kB    0B / 442kB    45
CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
51c9c4bfffc7   peer0.org1.example.com           1.57%     17.01MiB / 15.63GiB   0.11%     3.11kB / 1.49kB   0B / 57.3kB   14
9925c0f509bf   peer0.org2.example.com           2.05%     12.5MiB / 15.63GiB    0.08%     3.22kB / 1.49kB   0B / 57.3kB   13
