CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
26c66163cb76   peer0.org2.example.com           1.68%     41MiB / 15.63GiB      0.26%     3.07kB / 1.53kB   0B / 57.3kB   13
4168b1e5475e   peer0.org1.example.com           1.21%     15.02MiB / 15.63GiB   0.09%     3.07kB / 1.49kB   0B / 57.3kB   13
0a8da407b1db   orderer0.example.com             0.05%     14.02MiB / 15.63GiB   0.09%     712B / 0B         0B / 41kB     13
7814296b38fa   ca.org1.example.com              8.74%     14.57MiB / 15.63GiB   0.09%     2.5kB / 5.89kB    0B / 446kB    9
8d5a9c9700ea   couchdb.peer0.org2.example.com   0.45%     40.04MiB / 15.63GiB   0.25%     2.83kB / 2.44kB   0B / 442kB    45
412d4e23e7ac   ca.org2.example.com              0.00%     12.43MiB / 15.63GiB   0.08%     1.26kB / 0B       0B / 389kB    9
d39520ce6c9f   couchdb.peer0.org1.example.com   0.46%     40MiB / 15.63GiB      0.25%     2.67kB / 2.4kB    0B / 442kB    45
CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
26c66163cb76   peer0.org2.example.com           1.82%     41MiB / 15.63GiB      0.26%     3.22kB / 1.53kB   0B / 57.3kB   13
4168b1e5475e   peer0.org1.example.com           1.71%     15.02MiB / 15.63GiB   0.09%     3.29kB / 1.56kB   0B / 57.3kB   13
0a8da407b1db   orderer0.example.com             0.10%     16.18MiB / 15.63GiB   0.10%     5.72kB / 2.46kB   0B / 119kB    13
7814296b38fa   ca.org1.example.com              0.00%     14.57MiB / 15.63GiB   0.09%     2.59kB / 5.89kB   0B / 446kB    9
8d5a9c9700ea   couchdb.peer0.org2.example.com   0.66%     40.15MiB / 15.63GiB   0.25%     2.91kB / 2.44kB   0B / 442kB    45
412d4e23e7ac   ca.org2.example.com              0.00%     12.46MiB / 15.63GiB   0.08%     3.09kB / 5.89kB   0B / 446kB    9
